size,nps_inch,dn
RTJ ring R76 (~NPS 24),,
RTJ ring R77 (~NPS 24),,
RTJ ring R78 (~NPS 24),,
RTJ ring R79 (~NPS 24),,
RTJ ring R80 (~NPS 22),,
RTJ ring R81 (~NPS 22),,
RTJ ring R93 (~NPS 26),,
RTJ ring R94 (~NPS 28),,
RTJ ring R95 (~NPS 30),,
RTJ ring R96 (~NPS 32),,
RTJ ring R97 (~NPS 34),,
RTJ ring R98 (~NPS 36),,
RTJ ring R100 (~NPS 26),,
RTJ ring R101 (~NPS 28),,
RTJ ring R102 (~NPS 30),,
RTJ ring R103 (~NPS 32),,
RTJ ring R104 (~NPS 34),,
RTJ ring R105 (~NPS 36),,
RTJ ring RX20 (~NPS 1-1/2"),,
RTJ ring RX23 (~NPS 2"),,
RTJ ring RX24 (~NPS 2"),,
RTJ ring RX25 (~NPS 3-1/8"),,
RTJ ring RX26 (~NPS 2-1/2"),,
RTJ ring RX27 (~NPS 2-1/2"),,
RTJ ring RX31 (~NPS 3"),,
RTJ ring RX35 (~NPS 3"),,
RTJ ring RX37 (~NPS 4"),,
RTJ ring RX39 (~NPS 4"),,
RTJ ring RX41 (~NPS 5"),,
RTJ ring RX44 (~NPS 5"),,
RTJ ring RX45 (~NPS 6"),,
RTJ ring RX46 (~NPS 6"),,
RTJ ring RX47 (~NPS 8"),,
RTJ ring RX49 (~NPS 8"),,
RTJ ring RX50 (~NPS 8"),,
RTJ ring RX53 (~NPS 10"),,
RTJ ring RX54 (~NPS 10"),,
RTJ ring RX57 (~NPS 12"),,
RTJ ring RX63 (~NPS 14"),,
RTJ ring RX65 (~NPS 16"),,
RTJ ring RX66 (~NPS 16"),,
RTJ ring RX69 (~NPS 18"),,
RTJ ring RX70 (~NPS 18"),,
RTJ ring RX73 (~NPS 20"),,
RTJ ring RX74 (~NPS 20"),,
RTJ ring RX99 (~NPS 8"),,
RTJ ring RX201 (~NPS 1-3/8"),,
RTJ ring RX205 (~NPS 1-13/16"),,
RTJ ring RX210 (~NPS 2-9/16"),,
RTJ ring RX215 (~NPS 4-1/16"),,
RTJ ring BX150 (~NPS 1-11/16"),,
RTJ ring BX151 (~NPS 1-13/16"),,
RTJ ring BX152 (~NPS 2-1/16"),,
RTJ ring BX153 (~NPS 2-9/16"),,
RTJ ring BX154 (~NPS 3-1/16"),,
RTJ ring BX155 (~NPS 4-1/16"),,
RTJ ring BX156 (~NPS 7-1/16"),,
RTJ ring BX157 (~NPS 9"),,
RTJ ring BX158 (~NPS 11"),,
RTJ ring BX159 (~NPS 13-5/8"),,
RTJ ring BX160 (~NPS 13-5/8"),,
RTJ ring BX161 (~NPS 16-3/4"),,
RTJ ring BX162 (~NPS 16-3/4"),,
RTJ ring BX163 (~NPS 18-3/4"),,
RTJ ring BX164 (~NPS 18-3/4"),,
RTJ ring BX165 (~NPS 21-1/4"),,
RTJ ring BX166 (~NPS 21-1/4"),,
RTJ ring BX167 (~NPS 26-3/4"),,
RTJ ring BX168 (~NPS 26-3/4"),,
RTJ ring BX169 (~NPS 5-1/8"),,
RTJ ring BX170 (~NPS 6-5/8"),,
RTJ ring BX171 (~NPS 8-9/16"),,
RTJ ring BX172 (~NPS 11-5/32"),,
RTJ ring BX303 (~NPS 30"),,
