size,nps_inch,dn
36" × 34",36,
38" × 18",38,
38" × 20",38,
38" × 22",38,
38" × 24",38,
38" × 26",38,
38" × 28",38,
38" × 30",38,
38" × 32",38,
38" × 34",38,
38" × 36",38,
40" × 18",40,
40" × 20",40,
40" × 22",40,
40" × 24",40,
40" × 26",40,
40" × 28",40,
40" × 30",40,
40" × 32",40,
40" × 34",40,
40" × 36",40,
40" × 38",40,
42" × 16",42,
42" × 18",42,
42" × 20",42,
42" × 22",42,
42" × 24",42,
42" × 26",42,
42" × 28",42,
42" × 30",42,
42" × 32",42,
42" × 34",42,
42" × 36",42,
42" × 38",42,
42" × 40",42,
44" × 20",44,
44" × 22",44,
44" × 24",44,
44" × 26",44,
44" × 28",44,
44" × 30",44,
44" × 32",44,
44" × 34",44,
44" × 36",44,
44" × 38",44,
44" × 40",44,
44" × 42",44,
46" × 22",46,
46" × 24",46,
46" × 26",46,
46" × 28",46,
46" × 30",46,
46" × 32",46,
46" × 34",46,
46" × 36",46,
46" × 38",46,
46" × 40",46,
46" × 42",46,
46" × 44",46,
48" × 22",48,
48" × 24",48,
48" × 26",48,
48" × 28",48,
48" × 30",48,
48" × 32",48,
48" × 34",48,
48" × 36",48,
48" × 38",48,
48" × 40",48,
48" × 42",48,
48" × 44",48,
48" × 46",48,
DN20,,20
DN25,,25
DN32,,32
DN40,,40
DN50,,50
DN63,,63
DN75,,75
DN90,,90
DN110,,110
DN125,,125
DN160,,160
DN200,,200
DN250,,250
DN315,,315
DN355,,355
DN400,,400
DN450,,450
DN500,,500
DN630,,630
DN710,,710
DN800,,800
DN900,,900
DN1000,,1000
DN1200,,1200
DN25 × DN20,,25
DN32 × DN20,,32
DN32 × DN25,,32
DN40 × DN20,,40
DN40 × DN25,,40
DN40 × DN32,,40
DN50 × DN25,,50
DN50 × DN32,,50
DN50 × DN40,,50
DN63 × DN25,,63
DN63 × DN32,,63
DN63 × DN40,,63
DN63 × DN50,,63
DN75 × DN40,,75
DN75 × DN50,,75
DN75 × DN63,,75
DN90 × DN50,,90
DN90 × DN63,,90
DN90 × DN75,,90
DN110 × DN63,,110
DN110 × DN75,,110
DN110 × DN50,,110
DN110 × DN90,,110
DN125 × DN63,,125
DN125 × DN90,,125
DN125 × DN110,,125
DN160 × DN90,,160
DN160 × DN110,,160
DN160 × DN125,,160
DN200 × DN110,,200
DN200 × DN160,,200
DN225 × DN160,,225
DN250 × DN160,,250
DN250 × DN200,,250
DN250 × DN225,,250
DN315 × DN160,,315
DN315 × DN200,,315
DN315 × DN250,,315
DN355 × DN250,,355
DN355 × DN315,,355
DN400 × DN200,,400
DN400 × DN315,,400
DN400 × DN355,,400
DN450 × DN400,,450
DN500 × DN315,,500
DN500 × DN400,,500
DN500 × DN450,,500
DN560 × DN400,,560
DN560 × DN500,,560
DN630 × DN400,,630
DN630 × DN500,,630
DN630 × DN560,,630
